Wall time,Step,Value
1559000480.0182002,3161,1.0
1559000480.488922,3177,1.0
1559000481.0477571,3195,1.0
1559000481.0784152,3196,1.0
1559000482.4834611,3230,1.0
1559000482.780511,3240,1.0
1559000482.872121,3243,1.0
1559000482.9011881,3244,1.0
1559000482.9621508,3246,1.0
1559000482.9974122,3247,1.0
1559000485.3735628,3305,1.0
1559000486.734174,3345,1.0
1559000488.054763,3376,1.0
1559000489.1100218,3403,1.0
1559000489.257142,3408,1.0
1559000490.068856,3430,1.0
1559000490.649431,3449,1.0
1559000491.330174,3464,1.0
1559000491.9593542,3480,1.0
1559000493.0696042,3509,1.0
1559000493.1601222,3512,1.0
1559000494.054049,3537,1.0
1559000496.355382,3600,1.0
1559000497.141119,3618,1.0
1559000497.201076,3620,1.0
1559000497.260065,3622,1.0
1559000497.4405272,3628,1.0
1559000498.664337,3656,1.0
1559000499.083487,3670,1.0
1559000501.195096,3726,1.0
1559000501.3175879,3730,1.0
1559000501.654788,3741,1.0
1559000503.593481,3793,1.0
1559000504.5924292,3814,1.0
1559000504.746099,3819,1.0
1559000504.8067358,3821,1.0
1559000505.1093729,3831,1.0
1559000506.505067,3864,1.0
1559000506.8599439,3876,1.0
1559000508.880382,3928,1.0
1559000509.978749,3956,1.0
1559000510.970273,3984,1.0
1559000512.524658,4022,1.0
1559000512.847549,4033,1.0
1559000512.937972,4036,1.0
1559000515.007154,4093,1.0
1559000515.154052,4098,1.0
1559000515.718613,4109,1.0
1559000518.2798269,4182,1.0
1559000518.7863739,4194,1.0
1559000518.84597,4196,1.0
1559000519.243606,4201,1.0
1559000519.2756531,4202,1.0
1559000520.030956,4227,1.0
1559000520.180615,4232,1.0
1559000520.270732,4235,1.0
1559000520.6654851,4243,1.0
1559000521.517579,4263,1.0
1559000521.608219,4266,1.0
1559000522.103376,4282,1.0
1559000523.1686258,4304,1.0
1559000523.5451488,4317,1.0
1559000523.605891,4319,1.0
1559000525.428714,4369,1.0
1559000526.130952,4393,1.0
1559000526.334775,4400,1.0
1559000526.898195,4406,1.0
1559000527.6214988,4430,1.0
1559000527.710541,4433,1.0
1559000529.827654,4492,1.0
1559000530.5793128,4509,1.0
1559000531.34212,4530,1.0
1559000533.194853,4578,1.0
1559000533.288012,4581,1.0
1559000535.111365,4628,1.0
1559000536.2096121,4656,1.0
1559000536.4487512,4664,1.0
1559000536.5682108,4668,1.0
1559000536.963567,4676,1.0
1559000538.3233652,4713,1.0
1559000538.4705799,4718,1.0
1559000539.561186,4750,1.0
1559000540.041357,4758,1.0
1559000540.302371,4767,1.0
1559000540.983973,4788,1.0
1559000541.395055,4800,1.0
1559000541.697196,4802,1.0
1559000542.811178,4840,1.0
1559000543.5744581,4852,1.0
1559000544.8361359,4894,1.0
1559000547.548911,4962,1.0
1559000547.8162901,4971,1.0
1559000547.903046,4974,1.0
1559000550.5282428,5050,1.0
1559000550.832434,5052,1.0
1559000550.86215,5053,1.0
1559000552.830695,5106,1.0
1559000553.818389,5134,1.0
1559000556.2204769,5200,1.0
1559000557.761609,5239,1.0
1559000561.24194,5329,1.0
1559000561.8612108,5345,1.0
1559000562.573666,5359,1.0
1559000564.8286731,5420,1.0
1559000565.6416361,5442,1.0
1559000567.489332,5495,1.0
1559000568.4743161,5515,1.0
