Wall time,Step,Value
1558951628.2257578,5239,1.0
1558951635.2515352,5329,1.0
1558951636.4853382,5345,1.0
1558951638.021717,5359,1.0
1558951642.698949,5420,1.0
1558951644.273898,5442,1.0
1558951648.3829892,5495,1.0
1558951650.150641,5515,1.0
1558951650.36335,5517,1.0
1558951652.6010292,5549,1.0
1558951654.697048,5573,1.0
1558951655.594458,5587,1.0
1558951659.040648,5630,1.0
1558951661.360445,5658,1.0
1558951661.485528,5660,1.0
1558951661.744778,5664,1.0
1558951662.705354,5679,1.0
1558951666.0190341,5720,1.0
1558951666.216449,5723,1.0
1558951670.409338,5776,1.0
1558951672.9933922,5807,1.0
1558951673.0571468,5808,1.0
1558951674.254475,5825,1.0
1558951674.4434528,5828,1.0
1558951677.167768,5862,1.0
1558951677.289026,5864,1.0
1558951677.844089,5871,1.0
1558951680.736365,5907,1.0
1558951682.181812,5928,1.0
1558951684.180886,5952,1.0
1558951684.493197,5957,1.0
1558951684.874532,5963,1.0
1558951686.705367,5990,1.0
1558951688.488501,6010,1.0
1558951688.80689,6015,1.0
1558951689.7608051,6030,1.0
1558951690.0784519,6035,1.0
1558951693.470028,6078,1.0
1558951695.614099,6103,1.0
1558951695.7385201,6105,1.0
1558951696.8719628,6121,1.0
1558951697.500246,6131,1.0
1558951701.403339,6181,1.0
1558951702.747068,6200,1.0
1558951704.16358,6213,1.0
1558951704.56124,6219,1.0
1558951705.521538,6232,1.0
1558951709.843849,6289,1.0
1558951711.938774,6312,1.0
1558951712.263671,6317,1.0
1558951713.964499,6341,1.0
1558951715.16465,6352,1.0
1558951716.005453,6363,1.0
1558951716.86002,6376,1.0
1558951718.5386848,6400,1.0
1558951726.1259599,6495,1.0
1558951726.194293,6496,1.0
1558951726.4590049,6500,1.0
1558951728.335318,6520,1.0
1558951732.5414982,6574,1.0
1558951733.195442,6584,1.0
1558951734.9012558,6603,1.0
1558951739.070593,6657,1.0
1558951739.653387,6666,1.0
1558951740.034713,6672,1.0
1558951740.435145,6678,1.0
1558951740.624633,6681,1.0
1558951741.203079,6688,1.0
1558951741.710975,6696,1.0
1558951741.9025989,6699,1.0
1558951743.2576158,6711,1.0
1558951745.059293,6738,1.0
1558951745.318799,6742,1.0
1558951746.5036411,6753,1.0
1558951752.622491,6832,1.0
1558951753.690826,6846,1.0
1558951754.724086,6854,1.0
1558951755.849901,6869,1.0
1558951760.842295,6934,1.0
1558951763.354604,6963,1.0
1558951763.555557,6966,1.0
1558951765.416394,6992,1.0
1558951767.377207,7014,1.0
1558951773.126581,7091,1.0
1558951774.642113,7106,1.0
1558951775.165729,7114,1.0
1558951776.793031,7137,1.0
1558951778.4646568,7155,1.0
1558951781.311668,7195,1.0
1558951783.2671602,7216,1.0
1558951785.559138,7247,1.0
1558951790.210016,7300,1.0
1558951791.594589,7311,1.0
1558951792.8724859,7329,1.0
1558951793.683797,7339,1.0
1558951793.7536929,7340,1.0
1558951795.673457,7359,1.0
1558951797.279213,7382,1.0
1558951799.1379352,7401,1.0
1558951802.016005,7440,1.0
1558951802.222126,7443,1.0
1558951802.7027452,7450,1.0
1558951803.9973068,7460,1.0
1558951804.204834,7463,1.0
1558951805.229682,7478,1.0
1558951808.3006442,7511,1.0
1558951809.6460211,7530,1.0
1558951816.391318,7609,1.0
1558951818.908393,7644,1.0
1558951820.463507,7661,1.0
1558951821.540852,7676,1.0
1558951822.256674,7687,1.0
1558951822.646687,7693,1.0
1558951824.957568,7718,1.0
1558951825.3117802,7723,1.0
1558951825.632787,7728,1.0
1558951826.8186638,7746,1.0
1558951828.115456,7757,1.0
1558951828.312408,7760,1.0
1558951829.754505,7780,1.0
1558951830.277259,7788,1.0
1558951830.931521,7798,1.0
1558951833.8228412,7833,1.0
1558951834.1516569,7838,1.0
1558951838.824646,7899,1.0
1558951838.890269,7900,1.0
1558951841.478323,7932,1.0
1558951845.484729,7983,1.0
1558951846.1129448,7991,1.0
1558951848.928364,8026,1.0
1558951849.640167,8037,1.0
1558951850.517815,8049,1.0
1558951852.056606,8066,1.0
1558951856.645778,8126,1.0
1558951860.648784,8180,1.0
1558951861.004132,8184,1.0
1558951861.8984199,8198,1.0
1558951863.545386,8215,1.0
1558951863.9270551,8221,1.0
1558951867.37846,8263,1.0
1558951868.4786198,8279,1.0
1558951869.3289878,8290,1.0
1558951870.935225,8307,1.0
1558951872.355104,8327,1.0
1558951872.678195,8332,1.0
1558951872.806695,8334,1.0
1558951873.208637,8340,1.0
1558951875.103564,8360,1.0
1558951875.30632,8363,1.0
1558951875.744691,8368,1.0
1558951876.344656,8377,1.0
1558951883.558072,8467,1.0
1558951883.624079,8468,1.0
1558951883.754263,8470,1.0
1558951885.7103128,8498,1.0
1558951886.6128159,8503,1.0
1558951886.940777,8508,1.0
1558951891.314969,8566,1.0
1558951893.100637,8592,1.0
1558951894.153993,8601,1.0
1558951896.365383,8634,1.0
1558951896.4287202,8635,1.0
1558951897.134471,8644,1.0
1558951900.2200372,8682,1.0
1558951900.856302,8690,1.0
1558951901.18291,8695,1.0
1558951903.811222,8727,1.0
1558951907.4591959,8774,1.0
1558951907.7133288,8778,1.0
1558951909.756607,8801,1.0
1558951910.9140701,8819,1.0
1558951911.107263,8822,1.0
1558951912.584596,8843,1.0
1558951913.7779999,8854,1.0
1558951915.337755,8878,1.0
1558951915.8643231,8885,1.0
1558951917.5376089,8902,1.0
1558951917.730486,8904,1.0
1558951917.922441,8907,1.0
1558951919.290715,8928,1.0
1558951919.8825002,8935,1.0
1558951921.9476428,8958,1.0
1558951923.032647,8975,1.0
1558951924.298383,8993,1.0
1558951924.684779,8999,1.0
1558951925.790773,9009,1.0
1558951927.1442938,9028,1.0
1558951929.4801211,9055,1.0
1558951930.002294,9063,1.0
1558951931.4612732,9084,1.0
1558951937.15447,9155,1.0
1558951942.079548,9216,1.0
1558951942.874167,9226,1.0
1558951943.350034,9233,1.0
1558951945.604914,9260,1.0
1558951946.932482,9281,1.0
1558951949.2059882,9307,1.0
1558951949.7618618,9316,1.0
1558951951.861578,9348,1.0
1558951953.77503,9369,1.0
1558951957.0874581,9412,1.0
1558951957.275285,9415,1.0
1558951958.648695,9435,1.0
1558951959.121907,9442,1.0
1558951961.383839,9468,1.0
1558951966.512457,9538,1.0
1558951967.0902872,9547,1.0
1558951968.0458539,9554,1.0
1558951968.942086,9567,1.0
1558951970.575816,9589,1.0
1558951971.325653,9600,1.0
1558951972.642792,9611,1.0
1558951973.699757,9627,1.0
1558951975.830518,9651,1.0
1558951976.232383,9657,1.0
1558951977.869277,9680,1.0
1558951979.1611671,9698,1.0
1558951984.351716,9759,1.0
1558951985.044537,9768,1.0
1558951988.46173,9812,1.0
1558951990.374849,9840,1.0
1558951990.567752,9843,1.0
1558951993.7446148,9883,1.0
1558951995.893274,9907,1.0
1558952001.047981,9972,1.0
1558952007.370552,10050,1.0
1558952008.354282,10055,1.0
1558952008.558097,10058,1.0
1558952009.5059688,10072,1.0
1558952010.413245,10084,1.0
1558952012.480347,10107,1.0
1558952012.8706088,10113,1.0
1558952013.869524,10128,1.0
1558952015.0676968,10144,1.0
1558952017.252843,10168,1.0
1558952018.3859258,10185,1.0
1558952023.061394,10245,1.0
1558952024.263433,10256,1.0
1558952025.654072,10276,1.0
1558952026.1413639,10283,1.0
1558952026.457224,10288,1.0
1558952034.647668,10396,1.0
1558952034.836813,10399,1.0
1558952036.715063,10420,1.0
1558952037.031756,10425,1.0
1558952040.4521222,10468,1.0
1558952041.1482198,10479,1.0
1558952041.882287,10489,1.0
1558952042.138776,10493,1.0
1558952044.5497139,10522,1.0
1558952045.127828,10531,1.0
1558952047.1706429,10554,1.0
1558952047.233073,10555,1.0
1558952048.128992,10567,1.0
1558952050.205996,10598,1.0
1558952051.235569,10607,1.0
1558952052.416063,10624,1.0
1558952052.7372742,10629,1.0
1558952053.326188,10638,1.0
1558952053.831019,10646,1.0
1558952054.804856,10654,1.0
1558952055.90841,10671,1.0
1558952058.401014,10701,1.0
1558952059.126671,10711,1.0
1558952061.619854,10748,1.0
1558952062.6483982,10757,1.0
1558952062.7856908,10758,1.0
1558952064.214197,10780,1.0
1558952064.655902,10787,1.0
1558952067.203669,10815,1.0
1558952067.8542411,10825,1.0
1558952068.178653,10830,1.0
1558952068.887996,10841,1.0
1558952069.579077,10850,1.0
1558952070.954087,10864,1.0
1558952074.142756,10902,1.0
